Fecha, Ultimo, Volumen, Apertura, Maximo, Minimo
2019-02-14, 5.802, 48859, 6.334, 6.34, 5.8
2019-02-13, 6.118, 20171, 6.51, 6.51, 6.102
2019-02-12, 6.2, 104349, 7.2, 7.436, 6.2
2019-02-11, 6.384, 4063, 6.592, 6.75, 6.2202
2019-02-08, 6.304, 5999, 6.598, 6.8, 6.224
2019-02-07, 6.463, 6265, 6.594, 6.8, 6.28
2019-02-06, 6.28, 7847, 6.2, 6.84, 6.1
2019-02-05, 6.242, 22638, 6.6, 6.8, 6.226
2019-02-04, 6.224, 21493, 5.82, 6.52, 5.8
2019-02-01, 6.06, 40902, 6.68, 7, 5.95
2019-01-31, 6.4, 27419, 6.4, 6.4, 5.978
2019-01-30, 5.99, 5844, 6.122, 6.122, 5.8
2019-01-29, 5.82, 12090, 5.82, 5.96, 5.802
2019-01-28, 5.82, 23994, 6.18, 6.2, 5.8
2019-01-25, 5.9666, 21068, 6.342, 6.46, 5.812
2019-01-24, 6.042, 14039, 6.308, 6.6, 6.02
2019-01-23, 6.3, 10923, 7, 7.16, 6.3
2019-01-22, 6.58, 7718, 7.14, 7.438, 6.58
2019-01-18, 6.996, 8015, 7, 7.2, 6.602
2019-01-17, 6.62, 11433, 6.534, 7.13, 6.5
2019-01-16, 6.7, 6213, 6.6, 7, 6.4
2019-01-15, 6.584, 11638, 8, 8, 6.5
2019-01-14, 7.46, 7927, 8, 8, 7.4
2019-01-11, 7.63, 7040, 7.8, 8.4, 7.6
2019-01-10, 7.922, 11204, 7.8, 8.4, 7.562
2019-01-09, 7.562, 8041, 8.022, 8.196, 7.242
2019-01-08, 7.64, 24725, 7.57, 8.5, 7.122
2019-01-07, 7.57, 9807, 7.57, 8.02, 7.57
2019-01-04, 7.6, 11473, 8.116, 8.116, 7.07
2019-01-03, 7.582, 9451, 7.86, 7.86, 6.82
